dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
mnist,accuracy_epoch_1,nn_flops,21301,0.062575,0.0,0.133198,0.0,0.133198,0.0,True,0.0,True
cifar-100,accuracy_epoch_1,prm__dropout,15516,0.061794,0.0,-0.051104,0.0,0.051104,0.0,True,0.0,True
places365,accuracy_epoch_1,nn_has_residual,1699,0.061392,0.000611,0.059534,0.014117,0.059534,0.0008401249999999999,True,0.01964474096385542,True
mnist,accuracy_epoch_5,nn_has_attention,16467,0.059677,0.0,-0.061851,0.0,0.061851,0.0,True,0.0,True
places365,accuracy_epoch_1,nn_total_params,1699,0.057998,0.008063,-0.012778,0.598652,0.012778,0.010619437499999999,True,0.6462084672897196,False
places365,accuracy_epoch_1,prm__momentum,1705,0.056084,0.020181,0.056378,0.019909,0.056378,0.02589895,True,0.02721289349112426,True
celeba-gender,accuracy_epoch_5,nn_has_residual,9640,0.05564,0.0,0.059452,0.0,0.059452,0.0,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_flops,9640,0.054726,0.0,0.049281,1e-06,0.049281,0.0,True,1.8780487804878048e-06,True
cifar-100,accuracy_epoch_5,nn_has_residual,15252,0.054116,0.0,-0.051959,0.0,0.051959,0.0,True,0.0,True
cifar-10,accuracy_epoch_5,nn_max_depth,25116,0.053253,0.0,0.024949,7.7e-05,0.024949,0.0,True,0.00013078676470588236,True
celeba-gender,accuracy_epoch_1,nn_has_residual,14265,0.052927,0.0,0.071227,0.0,0.071227,0.0,True,0.0,True
imagenette,accuracy_epoch_5,nn_flops,13783,0.050134,0.0,0.116942,0.0,0.116942,0.0,True,0.0,True
cifar-10,accuracy_epoch_5,nn_has_residual,25116,0.050007,0.0,0.035563,0.0,0.035563,0.0,True,0.0,True
cifar-10,accuracy_epoch_5,nn_has_attention,25116,0.048138,0.0,-0.048393,0.0,0.048393,0.0,True,0.0,True
cifar-100,accuracy_epoch_5,nn_has_attention,15252,0.04697,0.0,-0.047618,0.0,0.047618,0.0,True,0.0,True
imagenette,accuracy_epoch_1,nn_flops,17978,0.042872,0.0,0.031712,2.1e-05,0.031712,0.0,True,3.6201492537313426e-05,True
cifar-100,accuracy_epoch_5,prm__dropout,11164,0.040124,0.0,-0.032057,0.000705,0.032057,0.0,True,0.0011078571428571429,True
celeba-gender,accuracy_epoch_5,prm__momentum,9734,0.033873,0.0,0.030411,0.002693,0.030411,0.0,True,0.003987711538461539,True
cifar-100,accuracy_epoch_5,prm__momentum,15347,0.033362,0.0,0.03153,9.4e-05,0.03153,0.0,True,0.00015621582733812948,True
mnist,accuracy_epoch_5,prm__momentum,16547,0.033294,0.0,0.041466,0.0,0.041466,0.0,True,0.0,True
mnist,accuracy_epoch_5,prm__dropout,12826,0.033169,0.0,0.035739,5.2e-05,0.035739,0.0,True,8.897777777777778e-05,True
imagenette,accuracy_epoch_1,nn_has_residual,17978,0.032997,0.0,-0.034029,5e-06,0.034029,0.0,True,8.884615384615385e-06,True
mnist,accuracy_epoch_1,prm__momentum,21395,0.032252,0.0,0.026549,0.000103,0.026549,0.0,True,0.00016994999999999998,True
svhn,accuracy_epoch_5,nn_has_residual,17631,0.032049,0.0,0.042845,0.0,0.042845,0.0,True,0.0,True
celeba-gender,accuracy_epoch_1,prm__momentum,14388,0.031213,0.0,0.020028,0.016287,0.020028,0.0,True,0.022528724550898202,True
cifar-10,accuracy_epoch_1,nn_has_attention,42577,0.030917,0.0,-0.026103,0.0,0.026103,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_has_residual,23098,0.03079,0.0,0.00333,0.612828,0.00333,0.0,True,0.6579564444444445,False
mnist,accuracy_epoch_1,nn_has_attention,21301,0.02979,0.0,-0.03273,2e-06,0.03273,0.0,True,3.637795275590551e-06,True
cifar-100,accuracy_epoch_1,nn_has_residual,20879,0.024348,0.0,0.02519,0.000272,0.02519,0.0,True,0.0004424788732394366,True
celeba-gender,accuracy_epoch_5,nn_has_attention,9640,0.023364,0.001581,0.011668,0.252004,0.011668,0.0021233197674418603,True,0.2885670297029703,False
svhn,accuracy_epoch_5,nn_has_attention,17631,0.021921,0.0,-0.010517,0.162588,0.010517,0.0,True,0.19460014507772022,False
mnist,accuracy_epoch_1,prm__dropout,16527,0.021655,3.6e-05,0.012498,0.108138,0.012498,5.101840490797546e-05,True,0.13502636756756756,False
svhn,accuracy_epoch_1,prm__dropout,18954,0.018912,0.000377,-0.023586,0.001165,0.023586,0.0005214790419161676,True,0.0017822185430463576,True
cifar-100,accuracy_epoch_1,prm__momentum,20991,0.018791,0.000297,0.016267,0.018431,0.016267,0.00041329518072289156,True,0.025342625,True
svhn,accuracy_epoch_5,prm__dropout,14781,0.017648,0.026752,-0.01575,0.055517,0.01575,0.03414205524861878,True,0.07164484357541899,False
svhn,accuracy_epoch_1,nn_has_attention,23098,0.014586,0.000839,-0.013056,0.047226,0.013056,0.0011400529411764706,True,0.06163393220338983,False
cifar-100,accuracy_epoch_1,nn_has_attention,20879,0.014116,0.016704,0.001308,0.850068,0.001308,0.021556558659217875,True,0.8805637130044843,False
