dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
places365,accuracy_epoch_1,prm__momentum,1705,0.122765,0.024876,0.056378,0.019909,0.056378,0.038826729729729725,True,0.02721289349112426,True
places365,accuracy_epoch_1,prm__dropout,1291,0.121708,0.457711,-0.045234,0.104265,0.045234,0.5684475322580645,False,0.13089790760869563,False
places365,accuracy_epoch_1,nn_max_depth,1699,0.113917,0.074627,0.084019,0.000527,0.084019,0.10980150955414013,False,0.0008395655172413793,True
places365,accuracy_epoch_1,nn_dropout_count,1699,0.111843,0.144279,-0.006827,0.778572,0.006827,0.2019906,False,0.8138015022624434,False
places365,accuracy_epoch_1,nn_flops,1699,0.105409,0.502488,0.049588,0.040981,0.049588,0.6207204705882353,False,0.05409491999999999,False
places365,accuracy_epoch_1,nn_total_params,1699,0.105358,0.437811,-0.012778,0.598652,0.012778,0.5496431576086956,False,0.6462084672897196,False
places365,accuracy_epoch_1,nn_total_layers,1699,0.104848,0.432836,0.091799,0.000151,0.091799,0.5463667540983607,False,0.0002473829787234043,True
places365,accuracy_epoch_1,nn_has_residual,1699,0.104636,0.099502,0.059534,0.014117,0.059534,0.14276373913043477,False,0.01964474096385542,True
places365,accuracy_epoch_1,nn_has_attention,1699,0.082882,0.174129,-0.041466,0.087514,0.041466,0.23661058235294116,False,0.11107546153846153,False
places365,accuracy_epoch_5,prm__lr,1092,0.283311,0.004975,0.447334,0.0,0.447334,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_5,nn_total_params,1089,0.197272,0.004975,0.198469,0.0,0.198469,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_5,nn_dropout_count,1089,0.169032,0.004975,0.218122,0.0,0.218122,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_5,nn_flops,1089,0.166115,0.004975,0.142878,2e-06,0.142878,0.008512777777777779,True,3.637795275590551e-06,True
places365,accuracy_epoch_5,nn_total_layers,1089,0.144145,0.029851,0.020757,0.493803,0.020757,0.045666099337748345,True,0.5355328309859155,False
places365,accuracy_epoch_5,prm__dropout,803,0.141713,0.422886,-0.011214,0.751017,0.011214,0.5367399230769231,False,0.78856785,False
