held_out_dataset,complexity,equation,loss,train_r2,test_r2
svhn,8,0.716678570468104*sqrt(epoch_log) - 9.234861/nn_total_layers,0.82447827,0.3327819721084826,0.1092146836832184
svhn,9,(epoch_log**0.77220446 - 15.615991/nn_total_layers)/1.8634741,0.8193624,0.33809259057751473,0.10348668927861748
svhn,10,sqrt(epoch_log/prm__batch**(1/4)) - 8.341464/nn_total_layers,0.80684924,0.34218465222544436,0.1095834954426258
svhn,12,sqrt(epoch_log*(epoch_log/prm__batch)**(1/4)) - 9.139555/nn_total_layers,0.8004273,0.34872944620093205,0.1300366238519054
svhn,13,sqrt(epoch_log/sqrt(1.9784167 + prm__batch/nn_total_layers)) - 8.422903/nn_total_layers,0.7954789,0.34935674470090716,0.11272601703252472
svhn,14,epoch_log/log(epoch_log + nn_max_depth + 0.04870676*prm__batch) - 8.557193/nn_total_layers,0.79046625,0.35026806860128445,0.11810107455919172
svhn,15,epoch_log/sqrt(nn_max_depth + (prm__batch + exp(epoch_log))/nn_total_layers) - 6.913937/nn_total_layers,0.78756446,0.35237777713401464,0.1224549759766842
svhn,16,1.2456918*epoch_log/sqrt(epoch_log + nn_max_depth + 0.0202394857389548*prm__batch) - 9.354961/nn_total_layers,0.78680587,0.3526509751314687,0.1180364614730276
svhn,17,0.991247849934616*epoch_log*sqrt(1/(epoch_log + 0.0138582870963133*prm__batch + log(nn_max_depth))) - 8.53922/nn_total_layers,0.7857038,0.3537623722750056,0.11314919751800678
svhn,18,epoch_log/sqrt(nn_max_depth + (prm__batch + exp(epoch_log))/(nn_total_layers + sqrt(prm__batch))) - 8.160695/nn_total_layers,0.7831526,0.35441447320097896,0.11686831260245412
svhn,19,epoch_log/sqrt(nn_max_depth + (prm__batch + exp(epoch_log))/(nn_total_layers + log(prm__batch)**2)) - 8.557193/nn_total_layers,0.7828222,0.35470654190025963,0.11523651364806942
svhn,21,1.2528712*epoch_log/sqrt(nn_max_depth + (prm__batch + exp(epoch_log))/log(nn_total_layers + prm__batch)**2) - 8.748784/nn_total_layers,0.7814783,0.3554679705287439,0.11369471310263024
svhn,23,1.1202012*epoch_log/sqrt(0.860895401811307*nn_max_depth + 0.860895401811307*(prm__batch + exp(epoch_log))/log(nn_total_layers + prm__batch)**2) - 8.587623/nn_total_layers,0.78068966,,
svhn,24,epoch_log/sqrt(nn_max_depth + (prm__batch + exp(epoch_log))/Abs(nn_total_layers/(epoch_log - 1.8675951) + log(prm__batch)**2)) - 8.291151/nn_total_layers,0.78033644,,
svhn,26,epoch_log/sqrt(nn_max_depth + (prm__batch + exp(epoch_log))/Abs(nn_total_layers/(epoch_log - 1.8675951) + log(nn_total_layers + prm__batch)**2)) - 8.748784/nn_total_layers,0.7800557,,
svhn,28,epoch_log/sqrt(nn_max_depth + (prm__batch + exp(epoch_log))/Abs((-epoch_log + nn_total_layers)/(epoch_log - 1.8414863) + log(nn_total_layers + prm__batch)**2)) - 8.743366/nn_total_layers,0.7794157,,
svhn,30,epoch_log/sqrt(nn_max_depth + (prm__batch + exp(epoch_log))/Abs((epoch_log - nn_total_layers)/(1.02971245588583*epoch_log - 1.8414863) - log(nn_total_layers + prm__batch)**2)) - 8.743366/nn_total_layers,0.77925783,,
